model_name,developer,release_date,release_status,access_type,architecture_type,multimodal,context_tokens,open_weights,training_tokens_t,training_compute_flops_e21,estimated_training_cost_usd_m,benchmark_position,reasoning_capability,agent_tool_use,known_unknowns,benchmark_1,benchmark_1_score,benchmark_1_date,benchmark_1_source,benchmark_2,benchmark_2_score,benchmark_2_date,benchmark_2_source
GPT-4o,OpenAI,2024-05,released,api,dense,yes,128000,no,unknown,unknown,unknown,top-tier,strong,native,params compute tokens,MMLU,86.4,2024-06,"OpenAI eval / AI Index",HumanEval,88.0,2024-06,"OpenAI eval / AI Index"
GPT-4.1,OpenAI,unknown,released,api,dense,yes,256000,no,unknown,unknown,unknown,top-tier,strong,native,full training details,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Claude-3.5 Sonnet,Anthropic,2024-06,released,api,dense,yes,200000,no,unknown,unknown,unknown,top-tier,strong,native,compute scale,MMLU,85.2,2024-07,"Anthropic eval / AI Index",HumanEval,84.9,2024-07,"Anthropic eval / AI Index"
Claude-3.5 Opus,Anthropic,unknown,limited,api,dense,yes,200000,no,unknown,unknown,unknown,top-tier,strong,native,release scope,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Gemini 1.5 Pro,Google,2024-02,released,api,moe,yes,1000000,no,unknown,unknown,unknown,top-tier,medium,native,training mix,MMLU,81.9,2024-03,"Google eval / AI Index",HumanEval,74.0,2024-03,"Google eval / AI Index"
Gemini 1.5 Flash,Google,unknown,released,api,moe,yes,1000000,no,unknown,unknown,unknown,high,medium,native,scaling details,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Llama 3.1 405B,Meta,2024-07,released,open_weights,dense,no,128000,yes,unknown,unknown,unknown,high,medium,wrapper,token mix,MMLU,79.5,2024-08,"Meta eval / AI Index",HumanEval,72.3,2024-08,"Meta eval / AI Index"
Qwen 2.5 72B,Alibaba,2024-09,released,open_weights,moe,limited,128000,yes,claimed,claimed,claimed,high,medium,wrapper,independent eval,MMLU,77.1,2024-10,"Alibaba eval / AI Index",HumanEval,70.4,2024-10,"Alibaba eval / AI Index"
DeepSeek V2,DeepSeek,unknown,released,open_weights,moe,no,64000,yes,claimed,claimed,claimed,high,medium,none,alignment method,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Mistral Large,Mistral,unknown,released,api,dense,no,128000,no,unknown,unknown,unknown,high,medium,native,compute budget,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
